county|positive_cases
Johnson | 37
Polk | 17
Dallas | 7
Allamakee | 6
Dubuque | 6
Linn | 6
Muscatine | 5
Black Hawk | 4
Tama | 4
Washington | 4
Harrison | 3
Cerro Gordo | 2
Hancock | 2
Pottawattamie | 2
Poweshiek | 2
Story | 2
Woodbury | 2
Adair | 1
Buchanan | 1
Carroll | 1
Cedar | 1
Fayette | 1
Henry | 1
Jasper | 1
Kossuth | 1
Scott | 1
Sioux | 1
Wapello | 1
Warren | 1
Winneshiek | 1
