county|positive_cases|deaths
  County|Cases|Deaths
  Barry|1| 
  Bay|1| 
  Berrien|2| 
  Calhoun|1| 
  Charlevoix|1| 
  Clare|1| 
  Clinton|2| 
  Detroit City|248|3
  Eaton|2| 
  Genesee|7| 
  Ingham|11| 
  Jackson|1| 
  Kent|21| 
  Leelanau|1| 
  Livingston|6| 
  Macomb|101| 
  Midland|3| 
  Monroe|3| 
  Montcalm|1| 
  Oakland|229|1
  Otsego|1| 
  Ottawa|2| 
  Saginaw|1| 
  St. Clair|7| 
  Tuscola|1| 
  Washtenaw|29| 
  Wayne|101|1
  Wexford|1| 
  Out of State|1| 
  Total|787|5
