county|positive_cases
|
Anderson|1
Blount|2
Bradley|1
Campbell|2
Carroll|2
Cheatham|4
Chester|1
Claiborne|1
Cocke|1
Cumberland|2
Davidson|164
Dekalb|1
Dickson|5
Dyer|2
Fayette|2
Franklin|1
Gibson|1
Greene|4
Hamblen|3
Hamilton|12
Hardin|1
Houston|1
Jefferson|3
Knox|12
Lincoln|1
Loudon|1
Marion|1
Maury|6
McMinn|2
Monroe|2
Montgomery|3
Perry|2
Putnam|6
Roane|1
Robertson|6
Rutherford|9
Scott|1
Sevier|1
Shelby|93
Sullivan|2
Sumner|34
Tipton|6
Washington|6
Weakley|1
Williamson|53
Wilson|6
Out of TN|89
Unknown|54
|
