county|positive_cases|deaths
||
Benton|7|2
Chelan|3|0
Clallam|4|0
Clark|10|3
Columbia|1|0
Cowlitz|3|0
Franklin|3|0
Grant|18|1
Grays Harbor|1|0
Island|21|1
Jefferson|6|0
King|1040|75
Kitsap|18|0
Kittitas|4|0
Klickitat|4|0
Lewis|2|0
Lincoln|1|0
Mason|1|0
Pierce|107|1
San Juan|1|0
Skagit|33|0
Snohomish|480|10
Spokane|20|0
Stevens|1|0
Thurston|11|0
Walla Walla|1|0
Whatcom|14|2
Yakima|16|0
Unassigned|165| 
Total|1996|95
