county|positive_cases
 55 – Ashland|1
 Ashtabula|3
 Belmont|3
 Butler|18
 Carroll|3
 Champaign|1
 Clark|2
 Clermont|5
 Clinton|2
 Columbiana|4
 Coshocton|4
 Crawford|1
 Cuyahoga|206
 Darke|1
 Defiance|2
 Delaware|12
 Erie|2
 Fairfield|5
 Fayette|1
 Franklin|88
 Gallia|1
 Geauga|4
 Greene|3
 Hamilton|48
 Hancock|1
 Highland|1
 Huron|2
 Knox|2
 Lake|14
 Lawrence|1
 Licking|3
 Logan|2
 Lorain|37
 Lucas|23
 Madison|2
 Mahoning|42
 Marion|4
 Medina|22
 Mercer|1
 Miami|19
 Montgomery|14
 Pickaway|1
 Portage|4
 Richland|4
 Sandusky|1
 Seneca|1
 Stark|12
 Summit|43
 Trumbull|9
 Tuscarawas|3
 Union|3
 Warren|8
 Washington|1
 Wayne|1
 Wood|3
