county|positive_cases|deaths
||
Adams|1|0
Benton|7|2
Chelan|6|0
Clallam|4|0
Clark|13|4
Columbia|1|0
Cowlitz|3|0
Douglas|1|0
Franklin|3|0
Grant|23|1
Grays Harbor|1|0
Island|25|1
Jefferson|7|0
King|1170|87
Kitsap|18|0
Kittitas|5|0
Klickitat|4|0
Lewis|2|0
Lincoln|1|0
Mason|1|0
Pierce|126|1
San Juan|1|0
Skagit|45|1
Snohomish|519|11
Spokane|29|0
Stevens|1|0
Thurston|11|0
Walla Walla|1|0
Whatcom|48|2
Whitman|2|0
Yakima|25|0
Unassigned|117| 
Total|2221|110
