county|positive_casses
|
Albany|61
Allegany|2
Broome|2
Chenango|2
Clinton|2
Columbia|1
Delaware|1
Dutchess|36
Erie|31
Essex|1
Fulton|1
Genesee|1
Greene|2
Hamilton|2
Herkimer|2
Jefferson|1
Livingston|1
Monroe|32
Montgomery|2
Nassau|754
Niagara|3
New York City|4,408
Oneida|2
Onondaga|8
Ontario|3
Orange|84
Putnam|7
Rensselaer|8
Rockland|101
Saratoga|24
Schenectady|21
Schoharie|1
Suffolk|371
Sullivan|8
Tioga|1
Tompkins|7
Ulster|12
Warren|1
Washington|1
Wayne|1
Westchester|1,091
Wyoming|2
Total Number of Positive Cases|7,102
